Instance_ID,Category_ID,Program_Title,Term,Year,AI_Level,Coordinator,Enrollment_Cap,Current_Enrollment,Status,Special_Requirements,Partner_Organizations,Budget_Code,Location,Delivery_Mode,Program_Fee,Notes
PI001,8,"Advanced Deep Learning with PyTorch","Fall",2024,AI-advanced,"Dr. Sarah Chen",30,25,"Active","GPU access required; Python proficiency","Google AI Research; NVIDIA","BUD2024-ML1","Virtual + AI Lab","Hybrid",2500,"High demand from industry professionals"
PI002,3,"Blockchain and FinTech Innovation","Spring",2024,AI-intermediate,"Dr. James Wilson",35,32,"Active","Basic programming knowledge","Ethereum Foundation; Local FinTech Hub","BUD2024-FIN1","Online","Online",1800,"International participants welcome"
PI003,12,"AI Ethics and Governance","Summer",2024,AI-introduction,"Dr. Elena Rodriguez",40,38,"Active","None","Ethics Institute; Tech Policy Group","BUD2024-ETH1","Hybrid","Hybrid",1200,"Cross-listed with Philosophy department"
PI004,6,"Autonomous Robotics Systems","Winter",2024,AI-project-based,"Dr. Michael Chang",25,20,"Active","Robotics lab access","Robotics Research Center; AutoTech Inc","BUD2024-ROB1","Engineering Lab","In-person",3000,"Equipment provided"
PI005,9,"Healthcare AI Applications","Fall",2024,AI-upperintermediate,"Dr. Lisa Patel",30,28,"Waitlist","HIPAA certification","City Hospital; HealthTech Solutions","BUD2024-HLT1","Medical Center","Hybrid",2200,"Priority for healthcare professionals"
PI006,14,"Bioinformatics and AI","Spring",2024,AI-advanced,"Dr. Robert Kim",25,22,"Active","Biology background; Python skills","Genome Institute; BioTech Corp","BUD2024-BIO1","Science Center","Hybrid",2800,"Research-focused program"
PI007,4,"Interactive Media Production","Summer",2024,AI-practice,"Prof. Maria Garcia",35,30,"Active","Basic media production","Media Studios; AI Labs","BUD2024-MED1","Media Lab","Hybrid",1800,"Hands-on production focus"
PI008,7,"Computational Design Innovation","Fall",2024,AI-practice,"Prof. David Lee",30,27,"Active","Design software experience","Design Studios; Tech Firms","BUD2024-ART1","Design Lab","Hybrid",1800,"Focus on algorithmic design"
PI009,15,"Computational Social Science","Winter",2024,AI-upperintermediate,"Dr. Amanda White",28,25,"Active","R or Python experience","Research Institute; Data Lab","BUD2024-SOC1","Social Science Building","Hybrid",2000,"Research methods focus"
PI010,1,"Smart Agriculture Systems","Spring",2024,AI-intermediate,"Dr. John Martinez",32,28,"Active","Basic IoT knowledge","AgTech Startups; Farm Coalition","BUD2024-AGR1","Field Station","Hybrid",1900,"Includes field work"
PI011,2,"AI in Urban Planning","Summer",2024,AI-intermediate,"Dr. Sarah Thompson",35,33,"Active","GIS basics","City Planning Office; Urban Tech","BUD2024-URB1","Architecture Building","Hybrid",2100,"Real city projects"
PI012,5,"Adaptive Learning Systems","Fall",2024,AI-project-based,"Dr. Michael Brown",30,28,"Active","Teaching experience","EdTech Startups; School District","BUD2024-EDU1","Education Center","Online",1700,"For education professionals"
PI013,10,"Experience Design Innovation","Winter",2024,AI-practice,"Prof. Lisa Chen",40,35,"Active","Service design basics","Tourism Board; Experience Labs","BUD2024-TOR1","Business School","Online",1600,"Focus on experience innovation"
PI014,11,"Digital Heritage Preservation","Spring",2024,AI-practice,"Dr. James Wright",25,20,"Active","Basic digital skills","Museum Association; Tech Archive","BUD2024-HER1","Library","Hybrid",1400,"Includes museum projects"
PI015,13,"AI-Enabled Legal Services","Summer",2024,AI-intermediate,"Prof. Robert Davis",30,27,"Active","Legal background","Law Firms; Legal Tech Co","BUD2024-LAW1","Law School","Online",2300,"For legal professionals"
PI016,8,"Computer Vision Applications","Fall",2024,AI-advanced,"Dr. Elena Kim",25,22,"Waitlist","Deep learning experience","Vision AI Corp; Research Lab","BUD2024-ML2","AI Lab","In-person",2700,"Advanced projects"
PI017,6,"IoT and Edge AI","Winter",2024,AI-project-based,"Dr. Thomas Lee",30,25,"Active","Electronics background","IoT Companies; Tech Firms","BUD2024-IOT1","Engineering Lab","Hybrid",2400,"Hardware included"
PI018,3,"AI in Investment Analysis","Spring",2024,AI-upperintermediate,"Prof. Mark Wilson",35,32,"Active","Finance background","Investment Firms; FinTech Co","BUD2024-FIN2","Business School","Online",2200,"Real market data access"
PI019,12,"AI Policy Framework","Summer",2024,AI-introduction,"Dr. Sarah Lee",40,38,"Active","Policy background","Policy Institute; Tech Companies","BUD2024-ETH2","Virtual","Online",1300,"Focus on governance"
PI020,9,"Medical Imaging AI","Fall",2024,AI-advanced,"Dr. John Chen",25,20,"Active","Healthcare background","Hospitals; Medical AI Firm","BUD2024-MED2","Medical Center","Hybrid",2900,"Clinical applications"
PI021,14,"Environmental Data Science","Winter",2024,AI-project-based,"Dr. Maria Torres",30,25,"Active","Python skills","Environmental Agency; Lab","BUD2024-ENV1","Science Center","Hybrid",2100,"Field work included"
PI022,4,"AI Content Creation","Spring",2024,AI-practice,"Prof. David Miller",35,30,"Active","Content creation experience","Media Houses; AI Startups","BUD2024-MED3","Media Lab","Online",1700,"Portfolio development"
PI023,7,"Generative Art and Design","Summer",2024,AI-practice,"Prof. Lisa Park",30,28,"Active","Art background","Art Galleries; Tech Studio","BUD2024-ART2","Art Studio","Hybrid",1900,"Exhibition opportunity"
PI024,15,"AI for Policy Analysis","Fall",2024,AI-intermediate,"Dr. Robert White",32,30,"Active","Policy background","Think Tanks; Government","BUD2024-POL1","Social Science Building","Online",2000,"Policy projects"
PI025,1,"Precision Agriculture AI","Winter",2024,AI-project-based,"Dr. James Brown",28,25,"Active","Agriculture knowledge","Agtech Companies; Farms","BUD2024-AGR2","Field Station","Hybrid",2300,"Practical implementation"
PI026,2,"Smart City Analytics","Spring",2024,AI-upperintermediate,"Dr. Elena Park",35,32,"Active","Urban planning basics","City Council; Tech Firms","BUD2024-URB2","Architecture Building","Hybrid",2400,"Real city data"
PI027,5,"AI in Special Education","Summer",2024,AI-intermediate,"Prof. Sarah Davis",30,28,"Active","Special ed background","Schools; EdTech Firms","BUD2024-EDU2","Education Center","Online",1800,"Specialized tools"
PI028,10,"Hospitality Experience Analytics","Fall",2024,AI-practice,"Dr. Thomas Chen",35,30,"Active","Hospitality experience","Hotels; Analytics Firms","BUD2024-HOS1","Business School","Online",1700,"Industry partnership"
PI029,11,"AI in Archaeological Research","Winter",2024,AI-project-based,"Dr. Maria Wright",25,20,"Active","Archaeology basics","Museums; Tech Labs","BUD2024-ARC1","Archaeology Lab","Hybrid",2200,"Field work included"
PI030,13,"Legal Document Intelligence","Spring",2024,AI-upperintermediate,"Prof. John Davis",30,27,"Active","Legal knowledge","Law Firms; AI Companies","BUD2024-LAW2","Law School","Online",2500,"Legal tech focus"
PI031,8,"Natural Language Processing Advanced","Fall",2024,AI-advanced,"Dr. Thomas Anderson",28,25,"Active","Python and ML experience","NLP Research Lab; Tech Giants","BUD2024-NLP1","AI Lab","Hybrid",2600,"Focus on transformer models"
PI032,3,"Digital Currency Innovation","Winter",2024,AI-intermediate,"Prof. Sarah Miller",35,30,"Active","Finance fundamentals","Crypto Firms; Banks","BUD2024-FIN3","Business School","Online",2100,"Cryptocurrency focus"
PI033,12,"Responsible AI Development","Spring",2024,AI-introduction,"Dr. Michael Roberts",40,35,"Active","Basic AI knowledge","Ethics Board; Tech Companies","BUD2024-ETH3","Virtual","Online",1400,"Industry guidelines focus"
PI034,6,"Autonomous Systems Design","Summer",2024,AI-project-based,"Dr. Jennifer Lee",25,22,"Active","Control systems knowledge","Automotive Companies; Research Labs","BUD2024-AUT1","Engineering Lab","In-person",2800,"Includes simulation work"
PI035,9,"AI in Preventive Medicine","Fall",2024,AI-upperintermediate,"Dr. Robert Chen",30,28,"Active","Healthcare background","Preventive Care Centers; AI Health","BUD2024-HLT2","Medical Center","Hybrid",2400,"Preventive care focus"
PI036,14,"Quantum Computing and AI","Winter",2024,AI-advanced,"Dr. Emily Wong",25,20,"Waitlist","Quantum mechanics basics","Quantum Labs; Tech Companies","BUD2024-QNT1","Physics Lab","Hybrid",3000,"Cutting-edge research"
PI037,4,"AI in Game Design","Spring",2024,AI-practice,"Prof. Alex Turner",35,32,"Active","Game design experience","Gaming Studios; AI Companies","BUD2024-GAM1","Media Lab","Hybrid",2000,"Portfolio development"
PI038,7,"AI Fashion Design","Summer",2024,AI-practice,"Prof. Isabella Martinez",30,28,"Active","Fashion design background","Fashion Houses; Tech Startups","BUD2024-FSH1","Design Studio","Hybrid",1900,"Industry collaboration"
PI039,15,"Behavioral Data Science","Fall",2024,AI-upperintermediate,"Dr. William Park",32,30,"Active","Psychology background","Research Institutes; Tech Firms","BUD2024-BEH1","Psychology Lab","Hybrid",2200,"Research methods focus"
PI040,1,"AI in Crop Management","Winter",2024,AI-project-based,"Dr. Rachel Green",28,25,"Active","Agriculture knowledge","Farming Tech; Research Centers","BUD2024-AGR3","Field Station","Hybrid",2100,"Practical applications"
PI041,2,"Transportation Analytics","Spring",2024,AI-upperintermediate,"Dr. Kevin Zhang",35,32,"Active","Transportation planning","Transit Authority; Tech Firms","BUD2024-TRN1","Engineering Building","Hybrid",2300,"Urban mobility focus"
PI042,5,"AI in Language Learning","Summer",2024,AI-intermediate,"Prof. Laura Chen",30,28,"Active","Language teaching experience","Language Schools; EdTech","BUD2024-EDU3","Education Center","Online",1700,"Language acquisition focus"
PI043,10,"Virtual Tourism Innovation","Fall",2024,AI-practice,"Dr. Carlos Rodriguez",35,30,"Active","Tourism background","Tourism Boards; Tech Companies","BUD2024-TOR2","Virtual Lab","Online",1800,"VR/AR applications"
PI044,11,"Digital Archaeology","Winter",2024,AI-project-based,"Dr. Sophie Brown",25,20,"Active","Archaeology basics","Museums; Tech Labs","BUD2024-ARC2","Archaeology Lab","Hybrid",2400,"3D reconstruction focus"
PI045,13,"AI Contract Analysis","Spring",2024,AI-upperintermediate,"Prof. Richard Taylor",30,27,"Active","Legal background","Law Firms; LegalTech","BUD2024-LAW3","Law School","Online",2600,"Contract automation"
